Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,1,Live animals,1,No Quantity,,,,,,,1196778828,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,1,Live animals,1,No Quantity,,,,,,,1457528165,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,1,Live animals,1,No Quantity,,,,,,,1566971988,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,1,Live animals,1,No Quantity,,,,,,,1425572148,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,1,Live animals,1,No Quantity,,,,,,,1767183104,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,2485199439,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,2429551291,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,2461814809,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,2300689862,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,2002200448,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,3,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,4978972194,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,3,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,5077997981,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,3,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,5305352673,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,3,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,5988319788,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,3,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,6131663360,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,4,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,531923309,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,4,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,597135854,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,4,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,638920370,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,4,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,674514933,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,4,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,711301568,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,5,"Products of animal origin, nes",1,No Quantity,,,,,,,213931271,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,5,"Products of animal origin, nes",1,No Quantity,,,,,,,239093476,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,5,"Products of animal origin, nes",1,No Quantity,,,,,,,218913092,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,5,"Products of animal origin, nes",1,No Quantity,,,,,,,264228555,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,5,"Products of animal origin, nes",1,No Quantity,,,,,,,359275424,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,6,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,645032330,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,6,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,706943441,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,6,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,760694950,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,6,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,832918726,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,6,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,1004466944,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1369992650,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1297773554,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1630283419,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1756722892,,,0
