Var1,match_death_coefs1,match_death_coefs2,match_death_coefs3,match_death_coefs4,match_death_coefs5,match_ar1_coefs1,match_ar1_coefs2,match_ar1_coefs3,match_ar1_coefs4,match_ar1_coefs5,mavship,exp_dom_coefs1,dom_ar1_coefs2,match_lag_coefs1,match_lag_coefs2,succ_rate_coefs1,succ_rate_coefs2,sr_var_coefs1,sr_var_coefs2,for_sales_shr,exp_frac
F,0.0121987040132487,0.000756429375999161,1.11999445883096e-07,-4.47561064382121e-05,-7.91770808896222e-05,0.113451684165847,-5.91209792931018e-05,-0.000575831125473593,-0.00137139256939473,-0.00352155764351581,0.000191838873953745,-0.00789947932486585,3.78807640274004e-07,0.000327780247146827,-8.21567458514624e-05,2.88733292723533e-07,-2.975058680408e-07,1.37280429356083e-11,-1.74054028350707e-12,-8.28255865198721e-06,-9.90581567350661e-08
scale_h,-1.9687581706609e-05,1.12085772277954e-05,1.79911001324714e-09,4.72891991956845e-06,1.68456026726744e-07,-0.000179579759354749,-9.98456131181972e-07,2.47052359705851e-05,2.70920995413086e-05,-2.6496330096466e-05,1.81516943094825e-06,2.37582853638874e-06,-9.85928731833879e-09,5.48122230291738e-07,-2.72239552503009e-07,-2.51657501529113e-09,-6.94720034801891e-09,-4.22916637235205e-13,1.64887961352486e-13,-5.4872712234e-08,-1.41477418522486e-09
ah,0.000187890179665945,-5.97353183373492e-07,1.61774778042143e-10,-6.34724646390232e-06,-1.48576208127395e-06,-0.000383549216233555,-9.73970747707396e-08,-2.05554579477704e-05,-4.06398834499136e-05,-7.41004136998373e-05,-2.65437100559848e-07,7.48558782226676e-07,-5.37964461805958e-10,-2.15678025738876e-07,2.54141712071512e-07,4.75483811487905e-09,3.57283295762466e-09,5.02580834177722e-13,-1.30456490954578e-13,-1.92888320419505e-08,-1.7038678223795e-10
bh,0.000370579069973453,2.77026879885425e-05,2.84253303524034e-09,3.43289955261934e-06,-1.8213328939637e-06,0.00212712652246415,-1.91849478318027e-07,8.65254168389532e-05,-4.1724899607388e-05,-2.43364242379039e-05,6.31608604167262e-06,4.54240281285704e-06,-3.12620915135486e-09,7.71581920138191e-06,-1.75677793406374e-06,9.04697770319877e-09,-3.5922045898122e-09,5.3853193485628e-13,-1.331330272776e-13,-1.17156111820558e-07,-1.0191167754823e-09
D_z,-1.11446181419346e-05,-1.66315463876072e-05,-8.46771032081445e-09,-1.23857508751688e-06,1.6095121400351e-07,0.00402983197489992,5.9786895384164e-06,-0.000270800934288534,-0.000166710886257758,0.000151404740627093,-1.72577451713327e-05,-1.76243220404165e-05,9.54288693476747e-08,2.69310800430076e-05,-4.08754492858708e-06,2.46737148467701e-08,4.45821284320971e-08,2.46164486408622e-12,-9.01046224763103e-13,3.89698538876952e-07,1.28849332603576e-08
L_bF,0.000134641610941378,-5.72943830290352e-06,1.17517685785747e-10,-4.82047808676638e-06,-4.40968986866685e-07,0.000106749582414097,-7.94989395017729e-07,-6.16033357253545e-05,-2.07784591445894e-05,5.41276115513456e-05,6.2570549258056e-06,2.83237452096217e-06,-4.31980887620778e-09,1.09479599048062e-06,-3.97709582642287e-07,1.22763358412048e-09,-5.83771666694379e-09,2.11127513507675e-13,-8.70668589972471e-14,-7.12058330816425e-08,-8.89609396416606e-10
gam,0.000557730733631282,-2.01973283940631e-05,-4.18018467156946e-09,-2.12428846323065e-05,-3.54368453460446e-06,-0.00570095962165715,3.16691545811533e-06,-7.13708259981955e-06,-0.000166498995163832,3.64855101423364e-05,8.32633105544149e-07,-3.66342535232726e-06,2.4169298509748e-08,-2.15388024707157e-05,-1.34617644069355e-06,1.88176015389874e-08,2.14017495734484e-08,2.31992130399838e-12,-8.54276666828176e-13,7.76293326387531e-08,3.14287174240269e-09
cs_h,-0.00712658795726295,-0.000351574726858544,6.17846126480653e-08,-4.66312810990588e-05,3.95807485412401e-05,-0.17564965624855,-6.22221449964841e-05,0.00517883681258696,0.00358908364482413,-0.000763844768127053,0.000160529508690155,0.00566305553444277,-1.23363748630608e-05,-0.000795802418158195,0.000129303910711315,-6.08129763007895e-07,-5.48655855971374e-07,-4.8711956681912e-11,1.5651516366974e-11,-3.31121533040691e-05,4.92222458558417e-07
sig_p,-5.43268525376143e-05,4.17582758343001e-06,6.71254760324726e-10,2.94400789305509e-06,3.50431769722358e-07,0.000518397484816174,-3.94188480910153e-07,1.60555143670165e-05,2.05399659610573e-05,-4.81160241815742e-06,3.20350843127393e-07,6.73989742683076e-07,-4.50458033545119e-09,-1.00039039695589e-06,-6.42102527342508e-08,-2.28346922664429e-09,-3.25018957924334e-09,-2.93691345092528e-13,1.01375404468682e-13,-1.42369591675052e-08,-5.84433480345947e-10
cs_f,-9.77272872709405e-05,-3.19658134458395e-05,-2.79441415567991e-09,-1.3146761456358e-05,-1.94752042718455e-08,0.000703583720253686,5.35372598734705e-07,-4.77235744414666e-06,6.22909860418011e-06,2.23013285652601e-05,-1.92656383699443e-06,-1.95741476052762e-06,5.99633530812033e-09,3.4689023275099e-07,-2.42539559446619e-07,-1.19080034835813e-09,-3.16703204635518e-10,1.11812197347561e-13,-8.1047911793705e-14,4.68648325815834e-08,9.37613702061288e-10
